,CityState,Impressions,CPC,CTR,Cost
4281,"SOMERS, CT",0.69,13.6,0.025,0.23
4282,"VALLEY FALLS, SC",0.69,4.1,0.048,0.13
4283,"SALEM, OH",0.69,4.7,0.048,0.15
4284,"TRENTON, OH",0.69,5.07,0.03,0.1
4285,"ROANOKE, IL",0.69,46.78,0.036,1.15
4286,"LOVETTSVILLE, VA",0.69,10.99,0.03,0.23
4287,"ORWELL, OH",0.69,4.98,0.054,0.18
4288,"METAMORA, IL",0.69,8.17,0.068,0.38
4289,"PALMYRA, NY",0.69,4.13,0.059,0.17
4290,"MILLERSBURG, OH",0.69,3.43,0.044,0.1
4291,"PLEASANT GROVE, AL",0.69,4.76,0.024,0.08
4292,"MINSTER, OH",0.69,5.51,0.033,0.12
4293,"PEOTONE, IL",0.69,8.46,0.058,0.33
4294,"MILLVILLE, PA",0.69,1.43,0.081,0.08
4295,"NEW HARTFORD, NY",0.69,12.97,0.018,0.16
4296,"PALMERTON, PA",0.69,3.03,0.082,0.17
4297,"MALONE, NY",0.69,3.31,0.057,0.13
4298,"MILFORD CHARTER TOWNSHIP, MI",0.69,11.33,0.03,0.23
4299,"MILFORD, NJ",0.69,20.42,0.036,0.5
4300,"MOONACHIE, NJ",0.69,10.15,0.035,0.24
4301,"MARSHFIELD, MO",0.69,1.05,0.082,0.06
4302,"MONESSEN, PA",0.69,18.41,0.026,0.33
4303,"LODI, WI",0.69,19.11,0.024,0.31
4304,"PARKESBURG, PA",0.69,8.78,0.031,0.18
4305,"NEW GLARUS, WI",0.69,5.04,0.046,0.16
4306,"MOUNT SINAI, NY",0.69,3.0,0.054,0.11
4307,"PORT JEFFERSON, NY",0.69,6.22,0.029,0.12
4308,"NASHVILLE, NC",0.69,3.27,0.05,0.11
4309,"MORGAN CITY, LA",0.69,8.18,0.096,0.53
4310,"RAYTOWN, MO",0.69,7.77,0.032,0.17
4311,"MARSHFIELD, WI",0.69,6.06,0.041,0.17
4312,"MADISON, NC",0.69,5.43,0.036,0.13
4313,"NEOSHO, MO",0.69,22.34,0.026,0.4
4314,"MARSHALL, MI",0.69,4.14,0.035,0.1
4315,"PLEASANT HILL, MO",0.69,4.61,0.037,0.11
4316,"POCOLA, OK",0.69,5.26,0.08,0.29
4317,"NORTH LEWISBURG, OH",0.69,15.17,0.037,0.38
4318,"MEDICAL LAKE, WA",0.69,27.21,0.022,0.4
4319,"MIDDLEBURGH, NY",0.69,3.77,0.055,0.14
4320,"PARK RIDGE, NJ",0.69,4.47,0.03,0.09
4321,"MORGANTOWN, KY",0.69,6.77,0.041,0.19
4322,"NEW MADRID, MO",0.69,16.7,0.027,0.31
4323,"MARTHA LAKE, WA",0.69,1.92,0.087,0.11
4324,"PARKER, PA",0.69,30.44,0.065,1.35
4325,"MATAWAN, NJ",0.69,27.54,0.024,0.46
4326,"NEW ROADS, LA",0.69,33.34,0.037,0.85
4327,"NORTH MIAMI BEACH, FL",0.69,19.97,0.031,0.43
4328,"NORTHPORT, MI",0.69,29.83,0.012,0.24
4329,"PERRY, MI",0.69,10.76,0.044,0.32
4330,"MOBERLY, MO",0.69,3.37,0.044,0.1
4331,"MAYWOOD, NJ",0.69,4.37,0.051,0.15
4332,"ONALASKA, WA",0.69,7.48,0.013,0.07
4333,"MONROEVILLE, PA",0.69,6.22,0.044,0.19
4334,"RANDOM LAKE, WI",0.69,5.86,0.029,0.11
4335,"PERU, IN",0.69,1.3,0.061,0.05
4336,"MODEL CITY, NY",0.69,46.7,0.038,1.2
4337,"LOWELLVILLE, OH",0.69,9.83,0.04,0.27
4338,"MEXICO, NY",0.69,9.22,0.016,0.1
4339,"MILLERSVILLE, PA",0.69,12.22,0.021,0.17
4340,"LOUDON, TN",0.69,3.36,0.106,0.24
4341,"MORRISON, TN",0.69,4.41,0.048,0.14
4342,"MAYFIELD, KY",0.69,5.39,0.053,0.19
4343,"OKMULGEE, OK",0.69,35.49,0.042,1.01
4344,"NEPTUNE TOWNSHIP, NJ",0.69,2.1,0.04,0.06
4345,"MILFORD, NH",0.69,8.75,0.019,0.11
4346,"NEWTON, IA",0.69,8.4,0.023,0.13
4347,"OTTUMWA, IA",0.69,11.31,0.017,0.13
4348,"PROSPECT, VA",0.69,16.61,0.026,0.3
4349,"ODESSA, FL",0.69,5.59,0.043,0.16
4350,"LITCHFIELD, CT",0.69,3.67,0.044,0.11
4351,"LYNDEN, WA",0.69,1.73,0.032,0.04
4352,"MCDAVID, FL",0.69,3.75,0.026,0.07
4353,"PALM SPRINGS, FL",0.69,19.07,0.048,0.63
4354,"OLIVE HILL, KY",0.69,5.18,0.047,0.17
4355,"PULASKI, NY",0.69,8.84,0.03,0.18
4356,"MARION, AL",0.69,4.34,0.035,0.1
4357,"MADISONVILLE, KY",0.69,6.15,0.074,0.31
4358,"MARION, SC",0.69,24.02,0.054,0.89
4359,"MCMINNVILLE, TN",0.69,1.53,0.097,0.1
4360,"PUNXSUTAWNEY, PA",0.69,13.99,0.023,0.22
4361,"LITTLE SILVER, NJ",0.69,4.4,0.064,0.19
4362,"PUTNAM VALLEY, NY",0.69,6.46,0.042,0.19
4363,"MONTAUK, NY",0.69,2.9,0.037,0.07
4364,"LOGAN, OH",0.69,19.9,0.054,0.72
4365,"MARION, IA",0.69,8.22,0.054,0.3
4366,"NEW DURHAM, NH",0.69,22.18,0.017,0.25
4367,"MIDVALE, ID",0.69,1.43,0.082,0.08
4368,"LITCHFIELD, NH",0.69,12.44,0.009,0.08
4369,"POUND RIDGE, NY",0.69,12.35,0.035,0.29
4370,"LUGOFF, SC",0.69,7.13,0.036,0.17
4371,"LYNN HAVEN, FL",0.69,35.06,0.027,0.64
4372,"NEW FREEDOM, PA",0.69,4.13,0.042,0.12
4373,"NORTH ROYALTON, OH",0.69,31.9,0.039,0.84
4374,"MANSFIELD, PA",0.69,6.34,0.022,0.1
4375,"PHILIPSBURG, PA",0.69,9.49,0.049,0.32
4376,"LOCKPORT, LA",0.69,16.88,0.046,0.52
4377,"ONEIDA, TN",0.69,11.43,0.057,0.44
4378,"PAGELAND, SC",0.69,9.94,0.068,0.46
4379,"MANISTIQUE, MI",0.69,2.53,0.049,0.08
4380,"MOUNT STERLING, KY",0.69,7.01,0.017,0.08
4381,"MAYFIELD HEIGHTS, OH",0.69,4.64,0.021,0.07
4382,"MOUNT UNION, PA",0.69,10.03,0.026,0.18
4383,"ORIENT, OH",0.69,12.75,0.028,0.24
4384,"MOUNT VERNON, IL",0.69,4.07,0.043,0.12
4385,"NORTH SARASOTA, FL",0.69,4.02,0.096,0.26
4386,"PLAINFIELD CHARTER TOWNSHIP, MI",0.69,3.74,0.032,0.08
4387,"NEWFIELD, NJ",0.69,51.22,0.048,1.68
4388,"ORWIGSBURG, PA",0.69,18.81,0.025,0.32
4389,"PRAIRIEVILLE, LA",0.69,11.36,0.051,0.39
4390,"MOUNTAIN CITY, TN",0.69,6.28,0.065,0.28
4391,"MONTEAGLE, TN",0.69,16.97,0.045,0.52
4392,"MEXICO, MO",0.69,4.21,0.036,0.1
4393,"NEPHI, UT",0.69,4.58,0.033,0.1
4394,"RAYMOND, WA",0.69,18.67,0.042,0.54
4395,"MOUNT CARMEL, PA",0.69,4.32,0.075,0.22
4396,"OPELOUSAS, LA",0.69,5.19,0.055,0.2
4397,"PAINE FIELD-LAKE STICKNEY, WA",0.69,3.56,0.03,0.07
4398,"ORANGE, VA",0.69,7.78,0.097,0.51
4399,"NORWOOD, NJ",0.69,4.93,0.061,0.2
4400,"MAKAWAO, HI",0.69,1.96,0.065,0.09
4401,"MONTICELLO, NY",0.69,12.65,0.059,0.51
4402,"PRIEST RIVER, ID",0.69,34.04,0.063,1.45
4403,"MARINE CITY, MI",0.69,5.82,0.029,0.11
4404,"NEW CUMBERLAND, PA",0.69,6.74,0.031,0.14
4405,"MOUNTAINSIDE, NJ",0.69,5.52,0.031,0.12
4406,"MIDLAND, PA",0.69,8.71,0.026,0.16
4407,"PELLA, IA",0.69,18.92,0.019,0.24
4408,"MILAN, IL",0.69,3.74,0.054,0.14
4409,"LINWOOD, NJ",0.69,1.4,0.062,0.06
4410,"LOUISBURG, NC",0.69,5.82,0.047,0.19
4411,"PHOENIX, NY",0.69,4.76,0.078,0.25
4412,"MONROE, PA",0.69,4.21,0.034,0.1
4413,"ENGLEWOOD, FL",0.69,63.9,0.019,0.81
4414,"FLORENCE, CO",0.69,20.83,0.022,0.32
4415,"LEADVILLE, CO",0.69,14.83,0.009,0.1
4416,"HERNANDO, FL",0.69,4.16,0.058,0.16
4417,"LAKE RONKONKOMA, NY",0.69,9.1,0.037,0.23
4418,"HARTSVILLE, SC",0.69,3.48,0.044,0.1
4419,"LATTA, SC",0.69,3.49,0.041,0.1
4420,"KILAUEA, HI",0.69,16.35,0.025,0.28
4421,"LEDYARD, CT",0.69,11.1,0.028,0.21
4422,"KILLEN, AL",0.69,4.88,0.046,0.15
4423,"LEWISTON, ID",0.69,6.1,0.061,0.25
4424,"GILLETTE, WY",0.69,3.03,0.028,0.06
4425,"LAMBERTVILLE, NJ",0.69,31.87,0.02,0.42
4426,"HARTVILLE, OH",0.69,5.67,0.036,0.14
4427,"HO-HO-KUS, NJ",0.69,26.43,0.024,0.43
4428,"EAST KINGSTON, NH",0.69,19.81,0.052,0.7
4429,"HERMITAGE, PA",0.69,15.34,0.027,0.29
4430,"GIRARD, OH",0.69,4.11,0.023,0.06
4431,"JEROME, ID",0.69,3.78,0.032,0.08
4432,"EFFINGHAM, IL",0.69,16.14,0.03,0.33
4433,"GRANITEVILLE, SC",0.69,2.08,0.048,0.07
4434,"KENANSVILLE, NC",0.69,17.48,0.077,0.92
4435,"HARRAH, OK",0.69,35.01,0.06,1.43
4436,"GERMANTOWN, WI",0.69,7.58,0.028,0.15
4437,"HILLSDALE, MI",0.69,20.46,0.023,0.33
4438,"HUMBOLDT, IA",0.69,8.96,0.017,0.11
4439,"FOLEY, AL",0.69,11.07,0.025,0.19
4440,"KINGSTON SPRINGS, TN",0.69,10.15,0.035,0.24
4441,"HINSDALE, IL",0.69,5.78,0.025,0.1
4442,"HESPERIA, MI",0.69,3.88,0.043,0.11
4443,"ERWIN, TN",0.69,15.02,0.027,0.28
4444,"KINGSTON, NH",0.69,11.33,0.011,0.09
4445,"LARKSPUR, CO",0.69,6.61,0.018,0.08
4446,"KINGSTON, WA",0.69,22.26,0.029,0.44
4447,"FAIRBANK, IA",0.69,1.37,0.119,0.11
4448,"HUNTERTOWN, IN",0.69,4.02,0.026,0.07
4449,"LE MARS, IA",0.69,8.21,0.061,0.34
4450,"KINGSVILLE, MO",0.69,23.27,0.031,0.48
4451,"LEAWOOD, KS",0.69,16.17,0.039,0.43
4452,"HUNTINGDON, PA",0.69,5.84,0.039,0.15
4453,"HOLLAND, OH",0.69,44.67,0.042,1.27
4454,"EUNICE, LA",0.69,14.04,0.042,0.4
4455,"HADDON HEIGHTS, NJ",0.69,16.6,0.034,0.38
4456,"ENUMCLAW, WA",0.69,9.09,0.038,0.24
4457,"FAYETTEVILLE, TN",0.69,7.31,0.033,0.17
4458,"FAIRMONT, NC",0.69,23.78,0.027,0.43
4459,"LENOIR CITY, TN",0.69,3.72,0.035,0.09
4460,"HURLBURT FIELD, FL",0.69,13.52,0.021,0.19
4461,"GRIMES, IA",0.69,4.69,0.088,0.28
4462,"HURRICANE, WV",0.69,6.1,0.043,0.18
4463,"KEN CARYL, CO",0.69,5.21,0.057,0.2
4464,"KNOB NOSTER, MO",0.69,9.12,0.02,0.12
4465,"LAKE PROVIDENCE, LA",0.69,1.84,0.054,0.07
4466,"KENILWORTH, NJ",0.69,6.38,0.023,0.1
4467,"IVINS, UT",0.69,30.71,0.035,0.74
4468,"KOHLER, WI",0.69,4.22,0.036,0.1
4469,"HOPKINSVILLE, KY",0.69,3.98,0.041,0.11
4470,"FAIRPLAY, CO",0.69,12.96,0.048,0.43
4471,"EAST ROCKAWAY, NY",0.69,23.58,0.006,0.1
4472,"HAMMOND, WI",0.69,5.87,0.019,0.08
4473,"HANNIBAL, MO",0.69,11.36,0.04,0.31
4474,"GREENBACK, TN",0.69,17.65,0.031,0.37
4475,"JACKSONVILLE, IL",0.69,6.6,0.027,0.12
4476,"HARTSELLE, AL",0.69,13.68,0.035,0.33
4477,"GREENPORT, NY",0.69,0.84,0.036,0.02
4478,"ELLWOOD CITY, PA",0.69,17.98,0.014,0.18
4479,"FACTORYVILLE, PA",0.69,2.89,0.074,0.15
4480,"IMMOKALEE, FL",0.69,15.27,0.028,0.29
4481,"FARMINGTON, MI",0.69,3.14,0.027,0.06
4482,"GREENCASTLE, PA",0.69,2.99,0.065,0.13
4483,"GARDENDALE, AL",0.69,18.45,0.088,1.11
4484,"HAUPPAUGE, NY",0.69,12.58,0.026,0.23
4485,"ELKINS, WV",0.69,9.05,0.037,0.23
4486,"EAST ROCHESTER, NY",0.69,7.59,0.043,0.22
4487,"HARDWICK, NJ",0.69,7.46,0.033,0.17
4488,"LACEY, WA",0.69,5.43,0.026,0.1
4489,"ELGIN, SC",0.69,4.28,0.102,0.3
4490,"HOWARD, WI",0.69,11.19,0.031,0.24
4491,"HOT SPRINGS, VA",0.69,22.52,0.028,0.43
4492,"EATON RAPIDS, MI",0.69,9.68,0.025,0.16
4493,"EASTOVER, SC",0.69,72.27,0.047,2.3
4494,"INDIANOLA, IA",0.69,4.11,0.05,0.14
4495,"GARRETTSVILLE, OH",0.69,4.2,0.052,0.15
4496,"HANALEI, HI",0.69,3.22,0.032,0.07
4497,"HEBER CITY, UT",0.69,11.27,0.023,0.18
4498,"INKSTER, MI",0.69,9.06,0.061,0.38
4499,"LEEDS, AL",0.69,5.73,0.06,0.23
4500,"LAFOLLETTE, TN",0.69,9.09,0.042,0.26
4501,"HENNIKER, NH",0.69,15.54,0.042,0.44
4502,"KANKAKEE, IL",0.69,2.67,0.076,0.14
4503,"JONES MILLS, PA",0.69,17.24,0.022,0.26
4504,"LEWISTOWN, IL",0.69,7.81,0.025,0.13
4505,"GAYLORD, MI",0.69,18.4,0.025,0.32
4506,"HOLMEN, WI",0.69,23.51,0.036,0.58
4507,"HEBRON, IN",0.69,1.84,0.046,0.06
4508,"GROSSE POINTE PARK, MI",0.69,19.91,0.022,0.3
4509,"HAMLIN, WV",0.69,3.14,0.035,0.07
4510,"HENDERSON, CO",0.69,9.46,0.044,0.28
4511,"GEORGETOWN, IN",0.69,9.69,0.03,0.2
4512,"FREEPORT, IL",0.69,17.32,0.046,0.54
4513,"LEWISBURG, TN",0.69,25.14,0.045,0.77
4514,"LINCOLN UNIVERSITY, PA",0.69,12.3,0.043,0.36
4515,"EAST TROY, WI",0.69,3.2,0.096,0.21
4516,"EDGEWATER, FL",0.69,6.58,0.047,0.21
4517,"LEWISTOWN, PA",0.69,6.42,0.03,0.13
4518,"IOWA FALLS, IA",0.69,9.48,0.01,0.07
4519,"HOMER CITY, PA",0.69,39.01,0.039,1.02
4520,"EAST LIVERPOOL, OH",0.69,10.29,0.017,0.12
4521,"HOMER, LA",0.69,16.47,0.034,0.38
4522,"HIGHLAND, NY",0.69,5.14,0.05,0.17
4523,"LIMESTONE, TN",0.69,26.62,0.026,0.47
4524,"HAWTHORNE, NJ",0.69,18.52,0.026,0.33
4525,"FITCHBURG, WI",0.69,6.88,0.035,0.16
4526,"FOX LAKE, IL",0.69,26.5,0.032,0.58
4527,"HALEIWA, HI",0.69,3.18,0.091,0.2
4528,"GREENVILLE, KY",0.69,10.77,0.019,0.14
4529,"HARRISONVILLE, MO",0.69,10.91,0.035,0.26
4530,"EAST LAKE-ORIENT PARK, FL",0.69,3.07,0.046,0.1
4531,"LAKE GROVE, NY",0.69,7.22,0.068,0.33
4532,"FULTONDALE, AL",0.69,5.08,0.021,0.07
4533,"CHESTER TOWNSHIP, NJ",0.69,7.62,0.057,0.3
4534,"DUNCAN, OK",0.69,3.59,0.03,0.07
4535,"DOUGLASSVILLE, PA",0.69,23.08,0.016,0.25
4536,"BRUSH, CO",0.69,30.82,0.025,0.52
4537,"EAST AMHERST, NY",0.69,6.15,0.047,0.2
4538,"CLEAR LAKE, IA",0.69,2.31,0.047,0.07
4539,"BERLIN, NH",0.69,2.25,0.074,0.11
4540,"ALANSON, MI",0.69,2.09,0.085,0.12
4541,"BEAVER, PA",0.69,12.8,0.008,0.07
4542,"BUCHANAN, MI",0.69,5.54,0.029,0.11
4543,"BROOKHAVEN, NY",0.69,3.7,0.034,0.08
4544,"DALEVILLE, VA",0.69,10.15,0.027,0.18
4545,"BAYVILLE, NY",0.69,2.52,0.042,0.07
4546,"BRANDENBURG, KY",0.69,8.45,0.033,0.19
4547,"BROOKLYN, CT",0.69,3.36,0.035,0.08
4548,"AFTON, WY",0.69,4.79,0.054,0.18
4549,"CHESTER, NY",0.69,11.04,0.013,0.1
4550,"DALLESPORT, WA",0.69,34.49,0.091,2.14
4551,"AUGUSTA CHARTER TOWNSHIP, MI",0.69,3.89,0.027,0.07
4552,"BARTO, PA",0.69,24.32,0.041,0.68
4553,"DUCKTOWN, TN",0.69,7.2,0.044,0.22
4554,"COWETA, OK",0.69,8.15,0.03,0.17
4555,"CONFLUENCE, KY",0.69,22.46,0.013,0.2
4556,"CHELAN, WA",0.69,18.48,0.021,0.26
4557,"BROOKSTON, IN",0.69,8.53,0.032,0.18
4558,"CLEVELAND, MO",0.69,10.11,0.025,0.17
4559,"BROWNSVILLE, TN",0.69,5.66,0.035,0.14
4560,"CAZENOVIA, NY",0.69,4.12,0.064,0.18
4561,"BEREA, KY",0.69,7.58,0.042,0.22
4562,"DANVILLE, PA",0.69,7.14,0.026,0.13
4563,"CASCADE-FAIRWOOD, WA",0.69,4.21,0.028,0.08
4564,"CLIFTON SPRINGS, NY",0.69,10.43,0.016,0.11
4565,"BERLIN, CT",0.69,24.52,0.055,0.92
4566,"CAPE CANAVERAL, FL",0.69,5.51,0.023,0.09
4567,"CAROLINA FOREST, SC",0.69,5.37,0.055,0.2
4568,"ALFRED, NY",0.69,3.96,0.034,0.09
4569,"BRIARCLIFF MANOR, NY",0.69,13.09,0.025,0.22
4570,"BELLMORE, NY",0.69,16.89,0.041,0.47
4571,"BOILING SPRINGS, SC",0.69,371.03,0.036,9.13
4572,"BANGOR, PA",0.69,5.19,0.067,0.23
4573,"CHESTER, WV",0.69,10.29,0.017,0.12
4574,"CHAPIN, SC",0.69,11.62,0.04,0.31
4575,"DUBLIN, NH",0.69,6.49,0.032,0.14
4576,"BELMONT, NH",0.69,1.53,0.068,0.07
4577,"BLACK EARTH, WI",0.69,4.48,0.098,0.3
4578,"CAMBRIDGE, NY",0.69,3.95,0.034,0.09
4579,"CONCORD, MO",0.69,3.32,0.122,0.28
4580,"BUNKIE, LA",0.69,3.23,0.08,0.18
4581,"CARENCRO, LA",0.69,17.23,0.037,0.43
4582,"CHARDON, OH",0.69,5.0,0.034,0.12
4583,"AMENIA, NY",0.69,4.28,0.034,0.1
4584,"CLINTON, MO",0.69,40.72,0.055,1.51
4585,"CICERO, IL",0.69,4.67,0.032,0.1
4586,"DE SOTO, KS",0.69,13.34,0.078,0.71
4587,"BENTON, KY",0.69,5.58,0.036,0.13
4588,"CLINTON, NC",0.69,7.47,0.051,0.26
4589,"ALTUS, OK",0.69,27.67,0.045,0.85
4590,"ALTOONA, IA",0.69,7.72,0.023,0.12
4591,"BURLINGTON, WI",0.69,16.75,0.065,0.74
4592,"BRIGHTON, TN",0.69,8.72,0.049,0.29
4593,"CHARLOTTE, MI",0.69,2.72,0.052,0.1
4594,"BRIMFIELD, IL",0.69,7.31,0.018,0.09
4595,"COLLINSVILLE, VA",0.69,3.35,0.061,0.14
4596,"CLYDE, NC",0.69,7.07,0.036,0.17
4597,"CHESTER, CT",0.69,5.66,0.061,0.24
4598,"BOSWELL, PA",0.69,4.08,0.073,0.2
4599,"DILLSBURG, PA",0.69,13.03,0.019,0.17
4600,"CHARLESTON, IL",0.69,3.1,0.063,0.13
4601,"ASHVILLE, OH",0.69,16.31,0.051,0.57
4602,"ADRIAN, MO",0.69,15.58,0.005,0.05
4603,"BOONE, IA",0.69,6.64,0.087,0.39
4604,"DEER PARK, WA",0.69,2.55,0.089,0.15
4605,"BERLIN, NJ",0.69,4.68,0.022,0.07
4606,"BALDWIN, NY",0.69,10.02,0.044,0.3
4607,"BERLIN, WI",0.69,5.41,0.056,0.21
4608,"CARLYLE, IL",0.69,1.72,0.077,0.09
4609,"COSHOCTON, OH",0.69,10.23,0.015,0.1
4610,"DEFIANCE, OH",0.69,19.06,0.04,0.52
4611,"DOVER PLAINS, NY",0.69,3.08,0.042,0.09
4612,"DEFUNIAK SPRINGS, FL",0.69,6.84,0.045,0.21
4613,"COLUMBIA, NJ",0.69,2.81,0.049,0.09
4614,"BLUE BALL, PA",0.69,4.05,0.031,0.08
4615,"BEAVER DAM, KY",0.69,7.74,0.051,0.27
4616,"BREMEN, IN",0.69,10.69,0.034,0.25
4617,"DRESSER, WI",0.69,20.22,0.046,0.63
4618,"CARO, MI",0.69,9.93,0.042,0.28
4619,"CULVER, IN",0.69,28.87,0.035,0.69
4620,"CHEROKEE, NC",0.69,9.06,0.045,0.28
4621,"BARDSTOWN, KY",0.69,1.91,0.063,0.08
4622,"BANNER ELK, NC",0.69,2.74,0.043,0.08
4623,"ARMADA, MI",0.69,4.72,0.088,0.28
4624,"ASHLAND CITY, TN",0.69,12.68,0.042,0.36
4625,"DUMONT, NJ",0.69,4.6,0.04,0.12
4626,"CARROLLTON, AL",0.69,1.53,0.083,0.09
4627,"CHESWICK, PA",0.69,13.23,0.043,0.38
4628,"DELMAR, NY",0.69,4.4,0.047,0.14
4629,"DUNLAP, IL",0.69,5.36,0.031,0.11
4630,"COVENTRY, CT",0.69,28.68,0.025,0.48
4631,"BROOKFIELD, CT",0.69,7.14,0.055,0.27
4632,"BENSON, NC",0.69,16.76,0.041,0.47
4633,"ARDMORE, AL",0.69,6.82,0.023,0.11
4634,"CHARLESTOWN, IN",0.69,5.93,0.058,0.23
4635,"DUSON, LA",0.69,18.59,0.066,0.83
4636,"DELTA, CO",0.69,19.92,0.037,0.5
4637,"BALLSTON, NY",0.69,4.29,0.052,0.15
4638,"DELTA, UT",0.69,17.28,0.046,0.55
4639,"CARTHAGE, TN",0.69,13.62,0.021,0.19
4640,"ALBION, MI",0.69,17.8,0.033,0.39
4641,"CENTRALIA, WA",0.69,11.49,0.011,0.09
4642,"AVENTURA, FL",0.69,31.75,0.026,0.55
4643,"CUT OFF, LA",0.69,7.16,0.039,0.19
4644,"DENISON, IA",0.69,9.44,0.038,0.24
4645,"BAYFIELD, CO",0.69,19.58,0.033,0.44
4646,"COTTAGE LAKE, WA",0.69,12.07,0.031,0.25
4647,"BENNETTSVILLE, SC",0.69,4.05,0.089,0.25
4648,"DEERFIELD, NH",0.69,9.83,0.026,0.17
4649,"BEAUFORT, NC",0.69,3.84,0.062,0.16
4650,"SWAINSBORO, GA",0.68,9.9,0.054,0.36
4651,"SPARTA, GA",0.68,6.01,0.047,0.19
4652,"STATHAM, GA",0.68,8.82,0.039,0.23
4653,"SCOTTDALE, GA",0.68,28.22,0.037,0.7
4654,"TUNNEL HILL, GA",0.68,12.07,0.03,0.24
4655,"SUMMERVILLE, GA",0.68,5.84,0.034,0.13
4656,"LULA, GA",0.68,18.28,0.03,0.37
4657,"PANTHERSVILLE, GA",0.68,33.87,0.043,0.97
4658,"HARTWELL, GA",0.68,8.89,0.019,0.11
4659,"HAPEVILLE, GA",0.68,8.75,0.022,0.13
4660,"HAZLEHURST, GA",0.68,2.71,0.073,0.13
4661,"FORT OGLETHORPE, GA",0.68,9.48,0.029,0.18
4662,"HELEN, GA",0.68,13.29,0.027,0.24
4663,"GUYTON, GA",0.68,41.17,0.046,1.27
4664,"GLENNVILLE, GA",0.68,5.25,0.094,0.33
4665,"DILLARD, GA",0.68,12.46,0.03,0.25
4666,"APPLING, GA",0.68,2.92,0.05,0.1
4667,"CLARKESVILLE, GA",0.68,6.41,0.023,0.1
4668,"BARNESVILLE, GA",0.68,44.52,0.049,1.45
4669,"COLLEGE PARK, GA",0.68,19.74,0.034,0.45
4670,"CHICKAMAUGA, GA",0.68,20.57,0.147,2.01
4671,"CAIRO, GA",0.68,6.73,0.026,0.12
4672,"CORDELE, GA",0.68,14.58,0.037,0.36
4673,"DANIELSVILLE, GA",0.68,28.77,0.039,0.75
4674,"TRIANGLE, VA",0.6599999999999999,6.34,0.0335,0.135
4675,"KEYSER, WV",0.6599999999999999,5.95,0.041499999999999995,0.16
4676,"FALLING WATERS, WV",0.6599999999999999,8.995000000000001,0.025,0.15000000000000002
4677,"RONAN, MT",0.65,7.54,0.041,0.2
4678,"THOMPSON FALLS, MT",0.65,2.14,0.068,0.09
4679,"RED LODGE, MT",0.65,14.71,0.022,0.2
4680,"ANACONDA, MT",0.65,0.99,0.051,0.03
4681,"BIG SKY, MT",0.65,2.33,0.075,0.11
4682,"DILLON, MT",0.65,4.78,0.029,0.09
4683,"CLANCY, MT",0.65,6.32,0.023,0.09
4684,"COLUMBIA FALLS, MT",0.65,11.29,0.009,0.07
4685,"CUT BANK, MT",0.65,14.05,0.031,0.28
4686,"NEW MARKET, VA",0.63,4.43,0.018,0.05
4687,"DAMASCUS, MD",0.625,5.545,0.0155,0.045000000000000005
4688,"TEMPLE HILLS, MD",0.62,5.91,0.023,0.08
4689,"WILLIS, TX",0.62,8.06,0.021,0.1
4690,"WILLS POINT, TX",0.62,22.39,0.007,0.09
4691,"WHITESBORO, TX",0.62,3.95,0.027,0.06
4692,"ROBSTOWN, TX",0.62,2.02,0.086,0.1
4693,"VIDOR, TX",0.62,24.16,0.031,0.45
4694,"TEXAS CITY, TX",0.62,6.57,0.05,0.2
4695,"WHITNEY, TX",0.62,2.78,0.055,0.09
4696,"VALLEY VIEW, TX",0.62,4.44,0.029,0.08
4697,"ROCKDALE, TX",0.62,4.19,0.032,0.08
4698,"SAN JUAN, TX",0.62,14.9,0.028,0.25
4699,"TAYLOR, TX",0.62,19.63,0.03,0.35
4700,"TROPHY CLUB, TX",0.62,5.83,0.046,0.16
4701,"SNYDER, TX",0.62,1.49,0.006,0.01
4702,"SHIRO, TX",0.62,11.28,0.031,0.21
4703,"MARBLE FALLS, TX",0.62,2.23,0.033,0.04
4704,"LULING, TX",0.62,6.69,0.019,0.08
4705,"MELISSA, TX",0.62,5.48,0.071,0.23
4706,"MURPHY, TX",0.62,5.06,0.058,0.18
4707,"NEWARK, TX",0.62,17.38,0.025,0.26
4708,"PIPE CREEK, TX",0.62,23.74,0.013,0.18
4709,"MISSION BEND, TX",0.62,7.01,0.018,0.07
4710,"MERKEL, TX",0.62,8.28,0.032,0.16
4711,"PRINCETON, TX",0.62,5.47,0.034,0.11
4712,"NEEDVILLE, TX",0.62,16.98,0.033,0.33
4713,"MOUNT PLEASANT, TX",0.62,5.02,0.04,0.12
4714,"NEW BOSTON, TX",0.62,3.18,0.012,0.02
4715,"PECAN GROVE, TX",0.62,25.64,0.016,0.24
4716,"PORT LAVACA, TX",0.62,12.28,0.022,0.16
4717,"RANGER, TX",0.62,2.37,0.066,0.09
4718,"PALMER, TX",0.62,29.49,0.022,0.39
4719,"PORT ISABEL, TX",0.62,4.4,0.073,0.19
4720,"IJAMSVILLE, MD",0.62,3.145,0.0515,0.1
4721,"FORT HOOD, TX",0.62,30.99,0.026,0.49
4722,"INGLESIDE, TX",0.62,32.97,0.084,1.67
4723,"GORDON, TX",0.62,3.86,0.016,0.04
4724,"JERSEY VILLAGE, TX",0.62,2.12,0.04,0.05
4725,"FREDERICKSBURG, TX",0.62,6.88,0.017,0.07
4726,"GROVES, TX",0.62,1.8,0.047,0.05
